iteration,weight_lbs,freeboard_in,gm_in,safety_factor
387,199.87,11.10,9.76,103.37
388,219.58,10.59,8.87,88.27
389,182.98,10.52,8.76,105.72
390,156.79,11.00,9.57,116.29
391,174.10,11.59,10.84,94.67
392,166.58,11.32,10.22,100.99
393,195.17,10.82,9.25,85.58
394,192.50,10.84,9.29,95.48
395,177.74,10.09,8.16,90.55
396,173.34,11.52,10.66,98.09
397,138.50,10.98,9.53,95.60
398,168.09,10.36,8.52,85.77
399,193.72,9.86,7.87,89.28
400,172.92,11.12,9.79,108.10
401,144.11,10.94,9.47,97.00
402,178.05,10.67,9.00,100.91
403,194.62,10.72,9.07,93.97
404,187.01,10.89,9.37,99.76
405,187.09,10.67,8.99,115.30
406,166.23,12.05,12.05,144.74
407,142.07,10.88,9.35,90.19
408,198.57,10.72,9.07,107.47
409,169.74,11.06,9.69,114.79
410,174.26,10.09,8.15,80.69
411,203.91,11.01,9.60,112.80
412,173.62,11.11,9.78,122.85
413,168.34,10.15,8.23,81.33
414,224.65,10.93,9.45,93.00
415,165.91,11.22,10.01,120.51
416,183.15,10.94,9.46,106.01
417,188.60,10.49,8.71,101.94
418,179.88,10.81,9.23,104.99
419,212.08,11.21,9.99,111.95
420,183.57,11.09,9.75,92.14
421,202.08,11.00,9.57,115.44
422,209.28,10.73,9.09,111.32
423,165.96,10.82,9.24,99.68
424,167.51,10.81,9.23,101.74
425,161.32,11.77,11.27,102.47
426,150.00,10.66,8.98,105.66
427,199.52,10.66,8.98,103.59
428,160.60,10.46,8.66,96.21
429,179.34,10.72,9.07,111.58
430,154.88,10.61,8.91,95.41
431,169.09,10.78,9.18,106.67
432,169.35,10.41,8.60,85.35
433,186.50,10.64,8.94,98.13
434,170.06,11.01,9.59,103.55
435,184.05,9.92,7.95,91.03
436,179.76,10.53,8.77,93.50
437,183.60,10.63,8.94,97.70
438,188.08,11.37,10.33,119.89
439,167.37,11.52,10.67,109.52
440,186.34,10.73,9.10,83.89
441,189.12,10.77,9.17,118.28
442,194.05,11.06,9.68,119.64
443,159.34,10.98,9.54,90.96
444,151.39,10.44,8.63,103.28
445,169.49,10.68,9.01,94.35
446,168.47,11.45,10.51,116.89
447,168.18,11.03,9.62,108.79
448,175.79,11.26,10.09,106.72
449,190.53,10.99,9.55,95.72
450,165.54,11.17,9.90,100.48
451,179.00,11.10,9.77,96.76
452,212.99,11.19,9.95,98.30
453,169.74,11.02,9.61,104.41
454,224.26,10.82,9.26,93.12
455,179.15,12.12,12.28,137.35
456,138.51,10.33,8.48,109.56
457,186.18,10.40,8.58,89.43
458,171.59,11.11,9.79,109.20
459,191.00,10.81,9.24,105.97
460,174.85,11.42,10.44,117.64
461,188.48,10.13,8.21,92.42
462,153.56,10.29,8.42,101.52
463,164.82,10.94,9.46,108.95
464,161.37,10.60,8.89,86.62
465,163.42,10.94,9.46,113.26
466,182.34,11.44,10.47,122.73
467,209.00,10.87,9.33,93.83
468,187.77,10.79,9.19,101.46
469,149.78,11.30,10.16,118.73
470,176.73,11.01,9.59,102.61
471,192.12,10.85,9.30,112.51
472,145.31,11.17,9.91,133.99
473,159.17,11.02,9.61,97.05
474,186.24,11.30,10.16,95.08
475,173.80,11.24,10.04,113.09
476,183.10,11.41,10.41,120.24
477,177.07,10.51,8.75,94.81
478,184.23,11.74,11.22,136.79
479,183.09,10.40,8.57,82.98
480,175.94,10.35,8.51,101.44
481,185.46,10.99,9.55,97.86
482,160.00,12.12,12.28,151.45
483,187.71,10.99,9.56,124.36
484,169.09,11.00,9.57,97.08
485,171.49,11.38,10.34,105.62
486,176.92,11.13,9.83,115.83
487,145.22,10.50,8.73,93.90
488,136.48,10.92,9.43,104.18
489,160.38,11.42,10.43,114.08
490,204.39,11.39,10.37,90.00
491,164.75,11.14,9.84,107.59
492,233.99,10.61,8.90,90.30
493,165.23,10.79,9.20,96.73
494,169.91,11.19,9.94,123.82
495,215.73,10.44,8.63,83.06
496,214.16,9.86,7.87,94.09
497,198.86,10.43,8.62,91.92
498,193.13,10.83,9.26,98.36
499,183.54,10.95,9.48,111.53
500,171.87,11.10,9.77,109.94
501,196.14,10.29,8.43,98.74
502,180.27,11.16,9.88,118.52
503,149.26,11.09,9.75,103.50
504,179.03,10.88,9.36,96.58
505,165.87,11.20,9.97,96.90
506,162.52,11.59,10.83,107.01
507,180.77,10.76,9.14,130.00
508,182.52,10.91,9.40,115.44
509,176.20,10.72,9.07,86.57
510,191.40,11.04,9.65,90.81
511,156.76,10.55,8.81,102.99
512,170.53,11.33,10.23,117.16
513,160.09,10.32,8.47,99.86
514,135.98,11.93,11.72,122.33
515,167.95,10.80,9.21,100.28
516,178.57,10.71,9.06,103.40
517,205.12,11.05,9.68,105.78
518,176.17,10.75,9.12,78.01
519,157.49,10.52,8.76,95.49
520,213.65,11.59,10.82,105.16
521,179.14,10.69,9.04,100.80
522,189.16,11.87,11.55,158.78
523,164.84,11.40,10.40,116.76
524,162.25,10.34,8.50,92.10
525,161.60,11.27,10.10,120.16
526,175.77,11.42,10.42,117.35
527,189.98,10.91,9.41,106.46
528,201.17,9.89,7.91,93.01
529,168.01,11.74,11.21,144.75
530,148.21,11.56,10.75,103.21
531,182.22,10.26,8.38,97.70
532,132.27,10.46,8.66,88.19
533,179.22,10.95,9.47,109.51
534,161.52,11.54,10.71,104.79
535,160.96,10.16,8.24,88.38
536,147.29,10.46,8.67,94.30
537,175.31,10.65,8.96,108.40
538,162.02,11.36,10.30,122.23
539,161.84,11.04,9.66,93.15
540,121.55,11.37,10.32,114.35
541,180.93,10.75,9.13,93.61
542,193.23,10.20,8.30,80.06
543,208.01,10.34,8.49,91.48
544,178.22,11.36,10.30,108.40
545,144.06,10.57,8.84,122.14
546,175.15,10.80,9.22,105.61
547,161.61,10.74,9.11,87.19
548,177.64,10.30,8.44,88.51
549,190.81,11.29,10.14,120.80
550,189.47,10.85,9.30,122.72
551,173.28,11.17,9.89,90.81
552,169.47,11.62,10.91,95.15
553,168.35,10.83,9.27,121.80
554,162.10,9.98,8.01,93.56
555,173.21,11.71,11.13,108.79
556,176.90,10.93,9.45,109.02
557,185.35,10.59,8.87,71.94
558,157.10,11.01,9.58,105.52
559,203.71,10.78,9.18,103.55
560,166.11,11.53,10.70,125.99
561,176.37,10.83,9.26,91.60
562,177.91,11.23,10.02,110.44
563,138.40,12.10,12.21,118.20
564,186.37,10.36,8.52,96.62
565,197.93,10.37,8.54,86.09
566,166.05,10.97,9.52,100.32
567,157.84,10.96,9.49,93.71
568,174.02,10.49,8.72,102.67
569,133.99,11.12,9.81,117.38
570,162.35,10.64,8.95,97.00
571,188.04,10.97,9.51,104.18
572,165.34,10.45,8.66,82.83
573,182.17,10.75,9.13,97.48
574,149.41,11.03,9.63,105.73
575,189.69,11.36,10.30,140.40
576,154.79,10.95,9.49,92.52
577,148.29,11.46,10.53,131.59
578,201.58,11.01,9.60,114.79
579,149.95,11.45,10.49,116.99
580,169.39,11.42,10.42,133.14
581,180.66,10.01,8.05,93.25
582,189.97,10.27,8.40,96.54
583,161.74,10.23,8.33,92.97
584,194.89,11.30,10.18,123.94
585,183.23,10.85,9.29,113.17
586,188.41,11.38,10.34,104.48
587,173.28,11.23,10.03,94.64
588,160.97,11.41,10.41,110.57
589,166.61,10.48,8.69,89.17
590,168.35,11.14,9.85,106.71
591,156.45,10.62,8.91,111.50
592,121.34,11.05,9.67,102.78
593,186.02,9.90,7.92,87.99
594,192.86,11.42,10.44,112.89
595,140.58,10.65,8.96,109.01
596,153.05,10.61,8.90,76.79
597,182.41,11.29,10.14,103.06
598,199.40,10.34,8.50,95.35
599,170.81,10.82,9.25,114.06
