# NAU Concrete Canoe 2026 — Design C CNC Coordinates
# Design C — Long & Stable (Speed)
# Hull: 216" × 36" × 18", thickness 0.5"
# Stations every 6.0" (37 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
14, 84.0, -13.532, 3.626
14, 84.0, -11.840, 3.173
14, 84.0, -10.149, 2.719
14, 84.0, -8.457, 2.266
14, 84.0, -6.766, 1.813
14, 84.0, -5.074, 1.360
14, 84.0, -3.383, 0.906
14, 84.0, -1.691, 0.453
14, 84.0, 0.000, 0.000
14, 84.0, 1.691, 0.453
14, 84.0, 3.383, 0.906
14, 84.0, 5.074, 1.360
14, 84.0, 6.766, 1.813
14, 84.0, 8.457, 2.266
14, 84.0, 10.149, 2.719
14, 84.0, 11.840, 3.173
14, 84.0, 13.532, 3.626
14, 84.0, 15.223, 4.079
14, 84.0, 16.914, 4.532
14, 84.0, 16.914, 18.000
14, 84.0, -16.914, 18.000
# --- Station 15 at 90" (beam=34.8") ---
15, 90.0, -17.387, 4.659
15, 90.0, -15.648, 4.193
15, 90.0, -13.909, 3.727
15, 90.0, -12.171, 3.261
15, 90.0, -10.432, 2.795
15, 90.0, -8.693, 2.329
15, 90.0, -6.955, 1.863
15, 90.0, -5.216, 1.398
15, 90.0, -3.477, 0.932
15, 90.0, -1.739, 0.466
15, 90.0, 0.000, 0.000
15, 90.0, 1.739, 0.466
15, 90.0, 3.477, 0.932
15, 90.0, 5.216, 1.398
15, 90.0, 6.955, 1.863
15, 90.0, 8.693, 2.329
15, 90.0, 10.432, 2.795
15, 90.0, 12.171, 3.261
15, 90.0, 13.909, 3.727
15, 90.0, 15.648, 4.193
15, 90.0, 17.387, 4.659
15, 90.0, 17.387, 18.000
15, 90.0, -17.387, 18.000
# --- Station 16 at 96" (beam=35.5") ---
16, 96.0, -17.727, 4.750
16, 96.0, -15.954, 4.275
16, 96.0, -14.181, 3.800
16, 96.0, -12.409, 3.325
16, 96.0, -10.636, 2.850
16, 96.0, -8.863, 2.375
16, 96.0, -7.091, 1.900
16, 96.0, -5.318, 1.425
16, 96.0, -3.545, 0.950
16, 96.0, -1.773, 0.475
16, 96.0, 0.000, 0.000
16, 96.0, 1.773, 0.475
16, 96.0, 3.545, 0.950
16, 96.0, 5.318, 1.425
16, 96.0, 7.091, 1.900
16, 96.0, 8.863, 2.375
16, 96.0, 10.636, 2.850
16, 96.0, 12.409, 3.325
16, 96.0, 14.181, 3.800
16, 96.0, 15.954, 4.275
16, 96.0, 17.727, 4.750
16, 96.0, 17.727, 18.000
16, 96.0, -17.727, 18.000
# --- Station 17 at 102" (beam=35.9") ---
17, 102.0, -17.932, 4.805
17, 102.0, -16.138, 4.324
17, 102.0, -14.345, 3.844
17, 102.0, -12.552, 3.363
17, 102.0, -10.759, 2.883
17, 102.0, -8.966, 2.402
17, 102.0, -7.173, 1.922
17, 102.0, -5.379, 1.441
17, 102.0, -3.586, 0.961
17, 102.0, -1.793, 0.480
17, 102.0, 0.000, 0.000
17, 102.0, 1.793, 0.480
17, 102.0, 3.586, 0.961
17, 102.0, 5.379, 1.441
17, 102.0, 7.173, 1.922
17, 102.0, 8.966, 2.402
17, 102.0, 10.759, 2.883
17, 102.0, 12.552, 3.363
17, 102.0, 14.345, 3.844
17, 102.0, 16.138, 4.324
17, 102.0, 17.932, 4.805
17, 102.0, 17.932, 18.000
17, 102.0, -17.932, 18.000
# --- Station 18 at 108" (beam=36.0") ---
18, 108.0, -18.000, 4.823
18, 108.0, -16.200, 4.341
18, 108.0, -14.400, 3.858
18, 108.0, -12.600, 3.376
18, 108.0, -10.800, 2.894
18, 108.0, -9.000, 2.412
18, 108.0, -7.200, 1.929
18, 108.0, -5.400, 1.447
18, 108.0, -3.600, 0.965
18, 108.0, -1.800, 0.482
18, 108.0, 0.000, 0.000
18, 108.0, 1.800, 0.482
18, 108.0, 3.600, 0.965
18, 108.0, 5.400, 1.447
18, 108.0, 7.200, 1.929
18, 108.0, 9.000, 2.412
18, 108.0, 10.800, 2.894
18, 108.0, 12.600, 3.376
18, 108.0, 14.400, 3.858
18, 108.0, 16.200, 4.341
