# NAU Concrete Canoe 2026 — Design A CNC Coordinates
# Design A — Optimal (Lightest)
# Hull: 192" × 32" × 17", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=17"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
15, 90.0, -15.923, 17.000
# --- Station 16 at 96" (beam=32.0") ---
16, 96.0, -16.000, 4.287
16, 96.0, -14.400, 3.858
16, 96.0, -12.800, 3.430
16, 96.0, -11.200, 3.001
16, 96.0, -9.600, 2.572
16, 96.0, -8.000, 2.144
16, 96.0, -6.400, 1.715
16, 96.0, -4.800, 1.286
16, 96.0, -3.200, 0.857
16, 96.0, -1.600, 0.429
16, 96.0, 0.000, 0.000
16, 96.0, 1.600, 0.429
16, 96.0, 3.200, 0.857
16, 96.0, 4.800, 1.286
16, 96.0, 6.400, 1.715
16, 96.0, 8.000, 2.144
16, 96.0, 9.600, 2.572
16, 96.0, 11.200, 3.001
16, 96.0, 12.800, 3.430
16, 96.0, 14.400, 3.858
16, 96.0, 16.000, 4.287
16, 96.0, 16.000, 17.000
16, 96.0, -16.000, 17.000
# --- Station 17 at 102" (beam=31.8") ---
17, 102.0, -15.923, 4.267
17, 102.0, -14.331, 3.840
17, 102.0, -12.738, 3.413
17, 102.0, -11.146, 2.987
17, 102.0, -9.554, 2.560
17, 102.0, -7.961, 2.133
17, 102.0, -6.369, 1.707
17, 102.0, -4.777, 1.280
17, 102.0, -3.185, 0.853
17, 102.0, -1.592, 0.427
17, 102.0, 0.000, 0.000
17, 102.0, 1.592, 0.427
17, 102.0, 3.185, 0.853
17, 102.0, 4.777, 1.280
17, 102.0, 6.369, 1.707
17, 102.0, 7.961, 2.133
17, 102.0, 9.554, 2.560
17, 102.0, 11.146, 2.987
17, 102.0, 12.738, 3.413
17, 102.0, 14.331, 3.840
17, 102.0, 15.923, 4.267
17, 102.0, 15.923, 17.000
17, 102.0, -15.923, 17.000
# --- Station 18 at 108" (beam=31.4") ---
18, 108.0, -15.693, 4.205
18, 108.0, -14.123, 3.784
18, 108.0, -12.554, 3.364
18, 108.0, -10.985, 2.943
18, 108.0, -9.416, 2.523
18, 108.0, -7.846, 2.102
18, 108.0, -6.277, 1.682
18, 108.0, -4.708, 1.261
18, 108.0, -3.139, 0.841
18, 108.0, -1.569, 0.420
18, 108.0, 0.000, 0.000
18, 108.0, 1.569, 0.420
18, 108.0, 3.139, 0.841
18, 108.0, 4.708, 1.261
18, 108.0, 6.277, 1.682
18, 108.0, 7.846, 2.102
18, 108.0, 9.416, 2.523
18, 108.0, 10.985, 2.943
18, 108.0, 12.554, 3.364
18, 108.0, 14.123, 3.784
18, 108.0, 15.693, 4.205
18, 108.0, 15.693, 17.000
18, 108.0, -15.693, 17.000
# --- Station 19 at 114" (beam=30.6") ---
19, 114.0, -15.311, 4.103
19, 114.0, -13.780, 3.692
19, 114.0, -12.249, 3.282
19, 114.0, -10.718, 2.872
19, 114.0, -9.187, 2.462
19, 114.0, -7.656, 2.051
19, 114.0, -6.124, 1.641
19, 114.0, -4.593, 1.231
19, 114.0, -3.062, 0.821
19, 114.0, -1.531, 0.410
19, 114.0, 0.000, 0.000
19, 114.0, 1.531, 0.410
19, 114.0, 3.062, 0.821
19, 114.0, 4.593, 1.231
19, 114.0, 6.124, 1.641
19, 114.0, 7.656, 2.051
19, 114.0, 9.187, 2.462
19, 114.0, 10.718, 2.872
19, 114.0, 12.249, 3.282
19, 114.0, 13.780, 3.692
19, 114.0, 15.311, 4.103
19, 114.0, 15.311, 17.000
19, 114.0, -15.311, 17.000
# --- Station 20 at 120" (beam=29.6") ---
20, 120.0, -14.782, 3.961
20, 120.0, -13.304, 3.565
20, 120.0, -11.826, 3.169
20, 120.0, -10.347, 2.773
20, 120.0, -8.869, 2.377
20, 120.0, -7.391, 1.980
20, 120.0, -5.913, 1.584
20, 120.0, -4.435, 1.188
20, 120.0, -2.956, 0.792
20, 120.0, -1.478, 0.396
20, 120.0, 0.000, 0.000
20, 120.0, 1.478, 0.396
20, 120.0, 2.956, 0.792
20, 120.0, 4.435, 1.188
20, 120.0, 5.913, 1.584
20, 120.0, 7.391, 1.980
20, 120.0, 8.869, 2.377
20, 120.0, 10.347, 2.773
20, 120.0, 11.826, 3.169
20, 120.0, 13.304, 3.565
20, 120.0, 14.782, 3.961
20, 120.0, 14.782, 17.000
20, 120.0, -14.782, 17.000
# --- Station 21 at 126" (beam=28.2") ---
21, 126.0, -14.111, 3.781
21, 126.0, -12.700, 3.403
21, 126.0, -11.289, 3.025
21, 126.0, -9.878, 2.647
21, 126.0, -8.466, 2.269
21, 126.0, -7.055, 1.890
21, 126.0, -5.644, 1.512
21, 126.0, -4.233, 1.134
21, 126.0, -2.822, 0.756
21, 126.0, -1.411, 0.378
21, 126.0, 0.000, 0.000
21, 126.0, 1.411, 0.378
21, 126.0, 2.822, 0.756
21, 126.0, 4.233, 1.134
21, 126.0, 5.644, 1.512
21, 126.0, 7.055, 1.890
21, 126.0, 8.466, 2.269
21, 126.0, 9.878, 2.647
21, 126.0, 11.289, 3.025
21, 126.0, 12.700, 3.403
21, 126.0, 14.111, 3.781
21, 126.0, 14.111, 17.000
21, 126.0, -14.111, 17.000
# --- Station 22 at 132" (beam=26.6") ---
22, 132.0, -13.304, 3.565
22, 132.0, -11.973, 3.208
22, 132.0, -10.643, 2.852
22, 132.0, -9.312, 2.495
22, 132.0, -7.982, 2.139
22, 132.0, -6.652, 1.782
22, 132.0, -5.321, 1.426
22, 132.0, -3.991, 1.069
22, 132.0, -2.661, 0.713
22, 132.0, -1.330, 0.356
22, 132.0, 0.000, 0.000
22, 132.0, 1.330, 0.356
22, 132.0, 2.661, 0.713
22, 132.0, 3.991, 1.069
22, 132.0, 5.321, 1.426
22, 132.0, 6.652, 1.782
22, 132.0, 7.982, 2.139
22, 132.0, 9.312, 2.495
