# NAU Concrete Canoe 2026 — Design B CNC Coordinates
# Design B — Conservative (Extra Margin)
# Hull: 196" × 34" × 18", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
13, 78.0, -16.134, 18.000
# --- Station 14 at 84" (beam=33.1") ---
14, 84.0, -16.574, 4.441
14, 84.0, -14.916, 3.997
14, 84.0, -13.259, 3.553
14, 84.0, -11.602, 3.109
14, 84.0, -9.944, 2.665
14, 84.0, -8.287, 2.220
14, 84.0, -6.630, 1.776
14, 84.0, -4.972, 1.332
14, 84.0, -3.315, 0.888
14, 84.0, -1.657, 0.444
14, 84.0, 0.000, 0.000
14, 84.0, 1.657, 0.444
14, 84.0, 3.315, 0.888
14, 84.0, 4.972, 1.332
14, 84.0, 6.630, 1.776
14, 84.0, 8.287, 2.220
14, 84.0, 9.944, 2.665
14, 84.0, 11.602, 3.109
14, 84.0, 13.259, 3.553
14, 84.0, 14.916, 3.997
14, 84.0, 16.574, 4.441
14, 84.0, 16.574, 18.000
14, 84.0, -16.574, 18.000
# --- Station 15 at 90" (beam=33.7") ---
15, 90.0, -16.860, 4.518
15, 90.0, -15.174, 4.066
15, 90.0, -13.488, 3.614
15, 90.0, -11.802, 3.162
15, 90.0, -10.116, 2.711
15, 90.0, -8.430, 2.259
15, 90.0, -6.744, 1.807
15, 90.0, -5.058, 1.355
15, 90.0, -3.372, 0.904
15, 90.0, -1.686, 0.452
15, 90.0, 0.000, 0.000
15, 90.0, 1.686, 0.452
15, 90.0, 3.372, 0.904
15, 90.0, 5.058, 1.355
15, 90.0, 6.744, 1.807
15, 90.0, 8.430, 2.259
15, 90.0, 10.116, 2.711
15, 90.0, 11.802, 3.162
15, 90.0, 13.488, 3.614
15, 90.0, 15.174, 4.066
15, 90.0, 16.860, 4.518
15, 90.0, 16.860, 18.000
15, 90.0, -16.860, 18.000
# --- Station 16 at 96" (beam=34.0") ---
16, 96.0, -16.991, 4.553
16, 96.0, -15.292, 4.098
16, 96.0, -13.593, 3.642
16, 96.0, -11.894, 3.187
16, 96.0, -10.195, 2.732
16, 96.0, -8.496, 2.276
16, 96.0, -6.797, 1.821
16, 96.0, -5.097, 1.366
16, 96.0, -3.398, 0.911
16, 96.0, -1.699, 0.455
16, 96.0, 0.000, 0.000
16, 96.0, 1.699, 0.455
16, 96.0, 3.398, 0.911
16, 96.0, 5.097, 1.366
16, 96.0, 6.797, 1.821
16, 96.0, 8.496, 2.276
16, 96.0, 10.195, 2.732
16, 96.0, 11.894, 3.187
16, 96.0, 13.593, 3.642
16, 96.0, 15.292, 4.098
16, 96.0, 16.991, 4.553
16, 96.0, 16.991, 18.000
16, 96.0, -16.991, 18.000
# --- Station 17 at 102" (beam=33.9") ---
17, 102.0, -16.965, 4.546
17, 102.0, -15.269, 4.091
17, 102.0, -13.572, 3.637
17, 102.0, -11.876, 3.182
17, 102.0, -10.179, 2.727
17, 102.0, -8.483, 2.273
17, 102.0, -6.786, 1.818
17, 102.0, -5.090, 1.364
17, 102.0, -3.393, 0.909
17, 102.0, -1.697, 0.455
17, 102.0, 0.000, 0.000
17, 102.0, 1.697, 0.455
17, 102.0, 3.393, 0.909
17, 102.0, 5.090, 1.364
17, 102.0, 6.786, 1.818
17, 102.0, 8.483, 2.273
17, 102.0, 10.179, 2.727
17, 102.0, 11.876, 3.182
17, 102.0, 13.572, 3.637
17, 102.0, 15.269, 4.091
17, 102.0, 16.965, 4.546
17, 102.0, 16.965, 18.000
17, 102.0, -16.965, 18.000
# --- Station 18 at 108" (beam=33.6") ---
18, 108.0, -16.782, 4.497
18, 108.0, -15.104, 4.047
18, 108.0, -13.426, 3.597
18, 108.0, -11.747, 3.148
